ID,Local_ID,Language_ID,Parameter_ID,Value,Form,Segments,Comment,Source,Cognacy,Loan,Graphemes,Profile,item_UPA,item_IPA,form_set,etym_notes,glossing_notes
601-103-1,,601,103,"és, s",és,eː ʃ ʃ,Latter contraction,FMSz,,,,,,"eːʃ, ʃ",7,,
601-103-2,,601,103,"és, s",s,eː ʃ ʃ,Latter contraction,FMSz,,,,,,"eːʃ, ʃ",7,,
701-103-1,,701,103,ja,ja,j ɑ,,WogWb,,,,,ja,jɑ,8,"Origin unknown, not connected to Fin “ja” (< Ger)",
807-103-1,,807,103,päni,päni,p æ n i,,DEWbOstj,,,,,päni,pæni,9,,"'And, again'"
907-103-1,,907,103,aj,aj,ɑ j,,SolkWb,,,,,aj,ɑj,10,,
807-103-2,,807,103,os,os,o s,,DEWbOstj,,,,,os,os,11,,"'And, still, again, also'"
108-103-1,,108,103,a,a,a,,WOLD,,,,,,a,12,,
101-103-2,,101,103,"gon, gonnoeh",gon,,,NSsNdb,,,,,,,13,,
101-103-3,,101,103,"gon, gonnoeh",gonnoeh,,,NSsNdb,,,,,,,13,,
102-103-2,,102,103,"ja, jah",ja,,,WbWlap,,,,,,,1,Poss. direct loan from Scand. instead of through Finnic,
102-103-3,,102,103,"ja, jah",jah,,,WbWlap,,,,,,,1,Poss. direct loan from Scand. instead of through Finnic,
104-103-1,,104,103,ja,ja,,,EZ,,,,,,,1,,
105-103-1,,105,103,ja,ja,,,SSSg,,,,,,,1,,
106-103-1,,106,103,já ~ ja,já ~ ja,,,InsSSk,,,,,,,1,,
107-103-2,,107,103,ja,ja,,,SKosSk,,,,,,,1,,
108-103-2,,108,103,ja,ja,j a,,WOLD,,,,,,ja,1,,
203-103-1,,203,103,ja,ja,j ɑ,,JL,,,,,,jɑ,1,,
208-103-3,,208,103,ja,ja,j ɑ,,InkmSk,,,,,ja,jɑ,1,,
209-103-2,,209,103,ja,ja,j ɑ,,VKJMS,,,,,ja,jɑ,1,,
210-103-1,,210,103,ja,ja,j ɑ,,SVSk,,,,,,jɑ,1,,
211-103-1,,211,103,ja,ja,,,VESr,,,,,,,1,,
212-103-1,,212,103,ja,ja,,,LivWb,,,,,,,1,,
301-103-1,,301,103,di ~ da,di ~ da,d i,,MordWb,,,,,"di, da","di, dɑ",4,,
501-103-1,,501,103,i,i,i,,SyrjWsch,,,,,i,i,2,,
503-103-1,,503,103,i,i,i,,KoPRSl,,,,,i,i,2,,
504-103-1,,504,103,i,i,i,,WotjWsch,,,,,i,i,2,,
501-103-2,,501,103,da,da,d ɑ,,SyrjWsch,,,,,da,dɑ,4,,
503-103-2,,503,103,da,da,d ɑ,,KoPRSl,,,,,da,dɑ,4,,
504-103-2,,504,103,da,da,d ɑ,,WotjWsch,,,,,da,dɑ,4,,
701-103-2,,701,103,i,i,i,,WogWb,,,,,i,i,2,,
301-103-2,,301,103,i,i,i,,MordWb,,,,,i,i,2,,
105-104-1,,105,104,ealˈli,ealˈli,,,SSSg,,,,,,,1,From PU *elä- 'live',
106-104-1,,106,104,ellee,ellee,,,InsSSk,,,,,,,1,From PU *elä- 'live',
107-104-1,,107,104,jieʹlli,jieʹlli,,,SKosSk,,,,,,,1,From PU *elä- 'live',
203-104-1,,203,104,eläin,eläin,e̞ l æ i n,,JL,,,,,,e̞læin,1,From PU *elä- 'live',
204-104-1,,204,104,"elävä, elukka",elävä,,,KKSV,,,,,,,1,From PU *elä- 'live',
204-104-2,,204,104,"elävä, elukka",elukka,,,KKSV,,,,,,,1,From PU *elä- 'live',
208-104-1,,208,104,eloɢaᴢ,eloɢaᴢ,e l o ɡ̥ ɑ z̥,,InkmSk,,,,,eloɢaᴢ,eloɡ̥ɑz̥,1,From PU *elä- 'live',
209-104-1,,209,104,eлoke̮ᴢ,eлoke̮ᴢ,e l o k ɤ z̥,,VKJMS,,,,,eloke̮ᴢ,elokɤz̥,1,From PU *elä- 'live',
211-104-1,,211,104,elläi,elläi,,,VESr,,,,,,,1,From PU *elä- 'live',
108-104-1,,108,104,žɨva,žɨva,ʒ ɨ v a,,WOLD,,,,,,ʒɨva,2,,
209-104-2,,209,104,лōm,лōm,l oː m,,VKJMS,,,,,lōm,loːm,3,,
210-104-1,,210,104,loom,loom,l oː m,,SVSk,,,,,,loːm ,3,,
212-104-1,,212,104,lùoməz,lùoməz,,,LivWb,,,,,,,3,,
101-104-1,,101,104,juvre,juvre,,,NSsNdb,,,,,,,4,,
301-104-1,,301,104,źveŕ,źveŕ,ʑ v e rʲ,,MordWb,,,,,źveŕ,ʑverʲ,5,,
401-104-1,,401,104,janlə̑k,janlə̑k,j ɑ n l ə k,,SMSk;TscherWb,,,,,janlə̑k,jɑnlək,6,,
301-104-2,,301,104,rakša,rakša,r ɑ k ʃ ɑ,,MordWb,,,,,rakša,rɑkʃɑ,7,,
